"Cultivar","Trial","Replicate","Toxin"
"Hein II","T2","R4",20
"Hja 71801","T1","R1",48.65
"Hja 71801","T1","R2",83.25
"Hja 71801","T2","R3",41.05
"Hja 71801","T2","R4",312.1
"Jokikyla ME0501","T1","R1",170.25
"Jokikyla ME0501","T1","R2",29.15
"Jokikyla ME0501","T2","R3",24.75
"Jokikyla ME0501","T2","R4",23.35
"Juuka","T1","R1",145.9
"Juuka","T1","R2",59.8
"Juuka","T2","R3",20
"Juuka","T2","R4",110.7
"Kapp","T1","R1",347.6
"Kapp","T1","R2",336.3
"Kapp","T2","R3",125.4
"Kapp","T2","R4",147.5
"Katri","T1","R1",67.1
"Katri","T1","R2",20
"Katri","T2","R3",20
"Katri","T2","R4",86.9
"Kyro","T1","R1",132.85
"Kyro","T1","R2",38.65
"Kyro","T2","R3",20
"Kyro","T2","R4",20.9
"Kyto","T1","R1",52.6
"Kyto","T1","R2",382.35
"Kyto","T2","R3",30.1
"Kyto","T2","R4",20
"Landsorte Jlitormo","T1","R1",34.45
"Landsorte Jlitormo","T1","R2",26.95
"Landsorte Jlitormo","T2","R3",20
"Landsorte Jlitormo","T2","R4",40.35
"Leila","T1","R1",341.7
"Leila","T1","R2",41.95
"Leila","T2","R3",88.55
"Leila","T2","R4",306.05
"Lena","T1","R1",435.1
"Lena","T1","R2",212.65
"Lena","T2","R3",77.4
"Lena","T2","R4",75.6
"Linda","T1","R1",124.5
"Linda","T1","R2",340.65
"Linda","T2","R3",191.25
"Linda","T2","R4",101.65
"Maatiaiskaura NR 29871","T1","R1",20
"Maatiaiskaura NR 29871","T1","R2",51.1
"Maatiaiskaura NR 29871","T2","R3",464
"Maatiaiskaura NR 29871","T2","R4",453
"Martin","T1","R1",280.65
"Martin","T1","R2",151.05
"Martin","T2","R3",66.9
"Martin","T2","R4",101.8
"Munin","T1","R1",806.3
"Munin","T1","R2",180.85
"Munin","T2","R3",37.4
"Munin","T2","R4",51.4
"Nema","T1","R1",112.25
"Nema","T1","R2",83.35
"Nema","T2","R3",24.2
"Nema","T2","R4",25
"Nero","T1","R1",23.35
"Nero","T1","R2",89.85
"Nero","T2","R3",43.75
"Nero","T2","R4",25.65
"NIDAR II","T1","R1",126.6
"NIDAR II","T1","R2",260.75
"NIDAR II","T2","R3",31.45
"NIDAR II","T2","R4",34.15
"Nip","T1","R1",148.5
"Nip","T1","R2",37
"Nip","T2","R3",514.15
"Nip","T2","R4",184.95
"Norum","T1","R1",592.7
"Norum","T1","R2",43.1
"Norum","T2","R3",20
"Norum","T2","R4",20
"Odin","T1","R1",345.95
"Odin","T1","R2",134.95
"Odin","T2","R3",20
"Odin","T2","R4",20
"Osmo","T1","R1",55.7
"Osmo","T1","R2",106.35
"Osmo","T2","R3",24
"Osmo","T2","R4",40.4
"OSMO II KAULIO AP0103","T1","R1",47.75
"OSMO II KAULIO AP0103","T1","R2",58.7
"OSMO II KAULIO AP0103","T2","R3",115.5
"OSMO II KAULIO AP0103","T2","R4",499.9
"Pellervo","T1","R1",117.35
"Pellervo","T1","R2",225.45
"Pellervo","T2","R3",21.75
"Pellervo","T2","R4",20
"Pol","T1","R1",374.05
"Pol","T1","R2",303.5
"Pol","T2","R3",884.9
"Pol","T2","R4",205
"Ponta","T1","R1",219
"Ponta","T1","R2",517.95
"Ponta","T2","R3",20
"Ponta","T2","R4",23.95
"Rajala","T1","R1",224.25
"Rajala","T1","R2",254.45
"Rajala","T2","R3",20
"Rajala","T2","R4",20
"Reima","T1","R1",21.15
"Reima","T1","R2",104.65
"Reima","T2","R3",64.3
"Reima","T2","R4",35.8
"Rygja","T1","R1",20.55
"Rygja","T1","R2",20
"Rygja","T2","R3",20
"Rygja","T2","R4",20.85
"Ryhti","T1","R1",289.55
"Ryhti","T1","R2",270.4
"Ryhti","T2","R3",20
"Ryhti","T2","R4",40.75
"Simo","T1","R1",129.3
"Simo","T1","R2",167.75
"Simo","T2","R3",20
"Simo","T2","R4",72.9
"Sisko","T1","R1",356.8
"Sisko","T1","R2",425.95
"Sisko","T2","R3",285.283333333333
"Sisko","T2","R4",73.1
"Sorbo","T1","R1",314.55
"Sorbo","T1","R2",297.8
"Sorbo","T2","R3",31
"Sorbo","T2","R4",20.05
"Stork","T1","R1",40.7
"Stork","T1","R2",40.1
"Stork","T2","R3",56.3
"Stork","T2","R4",38.5
"Stormogul II","T1","R1",20
"Stormogul II","T1","R2",56.45
"Stormogul II","T2","R3",48.5
"Stormogul II","T2","R4",202.8
"Strind","T1","R1",20
"Strind","T1","R2",25.6
"Strind","T2","R3",393.4
"Strind","T2","R4",29.3
"Svea","T1","R1",107.75
"Svea","T1","R2",20
"Svea","T2","R3",51.6
"Svea","T2","R4",277.8
"Thors Moistad","T1","R1",20
"Thors Moistad","T1","R2",75.8
"Thors Moistad","T2","R3",98.85
"Thors Moistad","T2","R4",225.85
"Trond","T1","R1",20
